snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
386,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
387,2706.0849301,0.0,2706.084329,6e-06,0.0,0.7171332
388,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
389,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
390,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
391,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
392,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
393,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
394,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
395,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
396,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
397,2763.0138807,0.0,2763.0147951,0.0,0.0,0.7322455
398,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
399,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
400,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
401,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
402,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
403,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
404,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
405,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
406,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
407,1016.5876948,0.0,1016.5864041,6e-06,0.0,0.2693732
408,0.0,0.0,6e-06,6e-06,0.0,0.0
409,0.0,0.0,6e-06,6e-06,0.0,0.0
410,0.0,0.0,6e-06,6e-06,0.0,0.0
411,0.0,0.0,6e-06,6e-06,0.0,0.0
412,0.0,0.0,6e-06,6e-06,0.0,0.0
413,0.0,0.0,6e-06,6e-06,0.0,0.0
414,0.0,0.0,6e-06,6e-06,0.0,0.0
415,0.0,0.0,6e-06,6e-06,0.0,0.0
416,0.0,0.0,6e-06,6e-06,0.0,0.0
417,0.0,0.0,6e-06,6e-06,0.0,0.0
418,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
419,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
420,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
421,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
422,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
423,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
424,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
425,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
426,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
427,1728.7437113,0.0,1728.7436006,0.0,0.0,0.4580455
428,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
429,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
430,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
431,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
432,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
433,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
434,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
435,2735.52558,0.0,2735.5250329,6e-06,0.0,0.7249455
